File, Line, Severity, Id, Summary
6.cpp,4,information,missingIncludeSystem,Include file: <iostream> not found. Please note: Cppcheck does not need standard library headers to get proper results.
6.cpp,5,information,missingIncludeSystem,Include file: <cstring> not found. Please note: Cppcheck does not need standard library headers to get proper results.
6.cpp,6,information,missingIncludeSystem,Include file: <windows.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.
6.cpp,7,information,missingIncludeSystem,Include file: <fstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.
6.cpp,8,information,missingIncludeSystem,Include file: <conio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.
6.cpp,9,information,missingIncludeSystem,Include file: <iomanip> not found. Please note: Cppcheck does not need standard library headers to get proper results.
6.cpp,10,information,missingIncludeSystem,Include file: <cstdlib> not found. Please note: Cppcheck does not need standard library headers to get proper results.
6.cpp,11,information,missingIncludeSystem,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.
6.cpp,12,information,missingIncludeSystem,Include file: <unistd.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.
6.cpp,562,portability,fflushOnInputStream,fflush() called on input stream 'stdin' may result in undefined behaviour on non-linux systems.
6.cpp,565,portability,fflushOnInputStream,fflush() called on input stream 'stdin' may result in undefined behaviour on non-linux systems.
6.cpp,614,portability,fflushOnInputStream,fflush() called on input stream 'stdin' may result in undefined behaviour on non-linux systems.
6.cpp,1121,portability,fflushOnInputStream,fflush() called on input stream 'stdin' may result in undefined behaviour on non-linux systems.
6.cpp,538,style,cstyleCast,C-style pointer casting
6.cpp,619,style,cstyleCast,C-style pointer casting
6.cpp,641,style,cstyleCast,C-style pointer casting
6.cpp,646,style,cstyleCast,C-style pointer casting
6.cpp,749,style,cstyleCast,C-style pointer casting
6.cpp,758,style,cstyleCast,C-style pointer casting
6.cpp,788,style,cstyleCast,C-style pointer casting
6.cpp,797,style,cstyleCast,C-style pointer casting
6.cpp,827,style,cstyleCast,C-style pointer casting
6.cpp,836,style,cstyleCast,C-style pointer casting
6.cpp,866,style,cstyleCast,C-style pointer casting
6.cpp,875,style,cstyleCast,C-style pointer casting
6.cpp,907,style,cstyleCast,C-style pointer casting
6.cpp,973,style,cstyleCast,C-style pointer casting
6.cpp,982,style,cstyleCast,C-style pointer casting
6.cpp,1012,style,cstyleCast,C-style pointer casting
6.cpp,1021,style,cstyleCast,C-style pointer casting
6.cpp,1051,style,cstyleCast,C-style pointer casting
6.cpp,1060,style,cstyleCast,C-style pointer casting
6.cpp,1090,style,cstyleCast,C-style pointer casting
6.cpp,1099,style,cstyleCast,C-style pointer casting
6.cpp,1181,style,cstyleCast,C-style pointer casting
6.cpp,1207,style,cstyleCast,C-style pointer casting
6.cpp,1216,style,cstyleCast,C-style pointer casting
6.cpp,1307,style,cstyleCast,C-style pointer casting
6.cpp,1317,style,cstyleCast,C-style pointer casting
6.cpp,1320,style,cstyleCast,C-style pointer casting
6.cpp,427,style,duplicateBreak,Consecutive return, break, continue, goto or throw statements are unnecessary.
6.cpp,443,style,duplicateBreak,Consecutive return, break, continue, goto or throw statements are unnecessary.
6.cpp,459,style,duplicateBreak,Consecutive return, break, continue, goto or throw statements are unnecessary.
6.cpp,892,style,duplicateBreak,Consecutive return, break, continue, goto or throw statements are unnecessary.
6.cpp,306,style,variableScope,The scope of the variable 'usern' can be reduced.
6.cpp,277,style,shadowFunction,Local variable 'user' shadows outer function
6.cpp,304,style,shadowVariable,Local variable 'c' shadows outer variable
6.cpp,275,performance,passedByValue,Function parameter 'str' should be passed by const reference.
6.cpp,277,style,unusedVariable,Unused variable: user
6.cpp,304,style,unusedVariable,Unused variable: c
